striker,innings_batted,runs_scored,balls_faced,dots,ones,twos,threes,fours,sixes,times_dismissed,batting_average,strike_rate,boundary_pct
AV Lazarus,36,799,694,298,291,39,0,64,29,28.0,28.54,115.13,0.13
SR Magar,56,797,990,624,322,68,5,69,8,43.0,18.53,80.51,0.08
RN Patel,45,797,684,314,231,63,2,83,17,38.0,20.97,116.52,0.15
LA Dunbar,30,795,667,375,198,31,1,67,44,25.0,31.8,119.19,0.17
Selim Salau,32,793,716,340,239,60,10,74,18,29.0,27.34,110.75,0.13
Shamima Sultana,50,791,823,463,230,43,1,109,6,44.0,17.98,96.11,0.14
R Stokell,61,789,769,359,293,67,0,80,7,39.0,20.23,102.6,0.11
IO Okpe,67,788,724,320,273,88,7,33,31,51.0,15.45,108.84,0.09
DM de Silva,44,786,695,277,307,51,5,68,15,39.0,20.15,113.09,0.12
RB Patel,36,781,756,355,297,34,0,92,8,29.0,26.93,103.31,0.13
G Malla,34,780,640,286,233,38,5,63,34,33.0,23.64,121.88,0.15
Faheem Nazir,22,775,529,225,167,47,4,91,23,19.0,40.79,146.5,0.22
J Gunasekar,20,774,704,327,281,82,5,74,3,15.0,51.6,109.94,0.11
Mohammad Nawaz,55,774,557,243,198,38,2,62,41,40.0,19.35,138.96,0.18
KR Mayers,39,773,575,300,156,13,3,69,51,37.0,20.89,134.43,0.21
Misbah-ul-Haq,32,771,698,273,321,53,1,45,26,19.0,40.58,110.46,0.1
AGS Gous,26,771,540,223,208,20,1,67,42,25.0,30.84,142.78,0.2
Sarfaraz Ali,42,771,550,302,121,19,2,66,57,37.0,20.84,140.18,0.22
E Chigumbura,46,769,535,218,197,37,2,54,46,36.0,21.36,143.74,0.19
L Paul,47,768,716,307,295,50,7,85,2,35.0,21.94,107.26,0.12
DEM Carter,36,767,777,396,253,54,6,82,10,29.0,26.45,98.71,0.12
Aaron Jones,42,767,670,294,277,45,2,40,39,33.0,23.24,114.48,0.12
RR Rossouw,27,767,480,177,173,36,4,69,39,22.0,34.86,159.79,0.22
YSD Seneveratne,29,766,648,320,203,46,5,60,36,21.0,36.48,118.21,0.15
G Mckeon,26,764,552,260,164,56,2,65,37,24.0,31.83,138.41,0.18
Ahmed Hassan,34,764,665,354,215,40,4,53,40,28.0,27.29,114.89,0.14
SA Okpe,61,763,743,359,251,79,4,48,25,47.0,16.23,102.69,0.1
T Manders,25,763,568,277,176,41,5,73,33,20.0,38.15,134.33,0.19
R Ravindra,45,759,560,206,235,43,2,60,32,36.0,21.08,135.54,0.16
DJ Hussey,36,756,623,237,264,56,4,41,34,33.0,22.91,121.35,0.12
Mohammad Nadeem,45,756,729,297,330,57,4,45,20,31.0,24.39,103.7,0.09
JA Diergaardt,79,756,1012,633,267,76,5,73,5,60.0,12.6,74.7,0.08
SKS Gill,31,755,735,341,292,57,3,67,12,28.0,26.96,102.72,0.11
N Nipiko,30,754,683,301,275,56,1,49,28,24.0,31.42,110.4,0.11
W Barresi,37,750,644,265,258,50,2,65,21,28.0,26.79,116.46,0.13
JO Adedeji,43,748,866,487,262,63,8,60,16,34.0,22.0,86.37,0.09
CG Williams,31,746,676,308,249,51,7,62,21,26.0,28.69,110.36,0.12
AR Ramjani,40,745,564,219,217,52,8,61,26,30.0,24.83,132.09,0.15
Aysha,40,743,647,315,219,60,5,87,6,33.0,22.52,114.84,0.14
Mohammad Ihsan,22,743,425,197,119,32,2,62,51,18.0,41.28,174.82,0.27
TC Barker,34,743,595,283,194,52,4,80,18,33.0,22.52,124.87,0.16
Walid Ghauri,25,743,611,274,218,50,1,71,23,23.0,32.3,121.6,0.15
SJ Myburgh,37,741,637,323,179,35,2,87,23,35.0,21.17,116.33,0.17
A Capsey,41,741,638,298,216,31,1,97,12,35.0,21.17,116.14,0.17
N de Klerk,56,740,703,295,289,57,3,70,8,29.0,25.52,105.26,0.11
Chirag Suri,28,740,636,287,220,49,4,77,17,26.0,28.46,116.35,0.15
