player_name,innings_batted,runs_scored,balls_faced,dots,ones,twos,threes,fours,sixes,times_dismissed,batting_average,strike_rate,boundary_pct,innings_bowled,legal_balls_bowled,runs_conceded,wickets_taken,wides_bowled,noballs_bowled,dots_bowled,overs_bowled,economy_rate,bowling_average,bowling_strike_rate,batting_cluster,bowling_cluster
A Scantlebury,2.0,16.0,34.0,24.0,8.0,2.0,0.0,1.0,0.0,2.0,8.0,47.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1
A Shahi,13.0,161.0,91.0,41.0,25.0,8.0,0.0,9.0,14.0,10.0,16.1,176.92,0.25,17.0,300.0,384.0,19.0,28.0,3.0,158.0,50.0,7.68,20.21,15.79,1,3
A Shahzad,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.0,97.0,3.0,1.0,0.0,27.0,11.0,8.82,32.33,22.0,-1,0
A Sharafu,60.0,1692.0,1280.0,549.0,457.0,71.0,5.0,163.0,71.0,52.0,32.54,132.19,0.18,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.17,18.0,0.0,0.0,1,-1
A Sharma,27.0,522.0,483.0,249.0,143.0,36.0,1.0,55.0,14.0,25.0,20.88,108.07,0.14,5.0,84.0,97.0,4.0,1.0,0.0,30.0,14.0,6.93,24.25,21.0,1,3
A Shreshta,20.0,361.0,361.0,180.0,121.0,34.0,2.0,34.0,5.0,17.0,21.24,100.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
A Shrubsole,16.0,103.0,96.0,41.0,33.0,13.0,0.0,8.0,2.0,8.0,12.88,107.29,0.1,66.0,1348.0,1335.0,84.0,52.0,4.0,792.0,224.67,5.94,15.89,16.05,0,2
A Shukla,21.0,54.0,90.0,67.0,20.0,5.0,0.0,3.0,2.0,14.0,3.86,60.0,0.06,53.0,1003.0,1346.0,49.0,55.0,14.0,516.0,167.17,8.05,27.47,20.47,3,0
A Simelane,8.0,56.0,57.0,28.0,20.0,4.0,0.0,4.0,2.0,7.0,8.0,98.25,0.11,10.0,162.0,271.0,8.0,6.0,2.0,47.0,27.0,10.04,33.88,20.25,0,0
A Sokovagone,6.0,174.0,129.0,57.0,43.0,8.0,1.0,10.0,12.0,6.0,29.0,134.88,0.17,2.0,25.0,39.0,0.0,0.0,0.0,6.0,4.17,9.36,0.0,0.0,1,-1
A Sootaga,11.0,91.0,106.0,64.0,30.0,8.0,1.0,9.0,1.0,6.0,15.17,85.85,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
A Stocks,14.0,153.0,269.0,177.0,78.0,20.0,3.0,5.0,1.0,12.0,12.75,56.88,0.02,14.0,278.0,227.0,12.0,16.0,3.0,147.0,46.33,4.9,18.92,23.17,0,2
A Stoilova,4.0,2.0,25.0,27.0,2.0,0.0,0.0,0.0,0.0,4.0,0.5,8.0,0.0,2.0,7.0,28.0,0.0,3.0,3.0,5.0,1.17,24.0,0.0,0.0,-1,-1
